Training loss=2.142772
Validation loss=2.575057
Min Validation loss=2.581902
Iteration of min validation loss=7700

Iterations trained=8450
Duration=69:10

Number of training examples=2925
Number of validation examples=100

Batch size=10
Learning rate=0.001000
Number of input (T)=80

Number of hidden layers=2
Number of hidden units per year=100

Iter=137, Training Loss=6.455689, Validation Loss=6.496374, Time Elapsed=01:13
Iter=138, Training Loss=6.451597, Validation Loss=6.496374, Time Elapsed=01:14
Iter=139, Training Loss=6.643417, Validation Loss=6.496374, Time Elapsed=01:14
Iter=140, Training Loss=6.559197, Validation Loss=6.496374, Time Elapsed=01:15
Iter=141, Training Loss=6.540107, Validation Loss=6.483891, Time Elapsed=01:16
Iter=142, Training Loss=6.441459, Validation Loss=6.483891, Time Elapsed=01:17
Iter=143, Training Loss=6.359338, Validation Loss=6.483891, Time Elapsed=01:17
Iter=144, Training Loss=6.332813, Validation Loss=6.483891, Time Elapsed=01:18
Iter=145, Training Loss=6.529222, Validation Loss=6.483891, Time Elapsed=01:18
Iter=146, Training Loss=6.577772, Validation Loss=6.483891, Time Elapsed=01:19
Iter=147, Training Loss=6.206235, Validation Loss=6.483891, Time Elapsed=01:19
Iter=148, Training Loss=6.358152, Validation Loss=6.483891, Time Elapsed=01:20
Iter=149, Training Loss=6.449115, Validation Loss=6.483891, Time Elapsed=01:20
Iter=150, Training Loss=6.353453, Validation Loss=6.483891, Time Elapsed=01:21
Iter=151, Training Loss=6.593962, Validation Loss=6.561485, Time Elapsed=01:22
Iter=152, Training Loss=6.336990, Validation Loss=6.561485, Time Elapsed=01:22
Iter=153, Training Loss=6.400403, Validation Loss=6.561485, Time Elapsed=01:23
Iter=154, Training Loss=6.570316, Validation Loss=6.561485, Time Elapsed=01:23
Iter=155, Training Loss=6.392866, Validation Loss=6.561485, Time Elapsed=01:23
Iter=156, Training Loss=6.387029, Validation Loss=6.561485, Time Elapsed=01:24
Iter=157, Training Loss=6.325154, Validation Loss=6.561485, Time Elapsed=01:24
Iter=158, Training Loss=6.648035, Validation Loss=6.561485, Time Elapsed=01:25
Iter=159, Training Loss=6.453081, Validation Loss=6.561485, Time Elapsed=01:25
Iter=160, Training Loss=6.585452, Validation Loss=6.561485, Time Elapsed=01:26
Iter=161, Training Loss=6.350441, Validation Loss=6.280417, Time Elapsed=01:27
Iter=162, Training Loss=6.362104, Validation Loss=6.280417, Time Elapsed=01:27
Iter=163, Training Loss=6.395941, Validation Loss=6.280417, Time Elapsed=01:28
Iter=164, Training Loss=6.465284, Validation Loss=6.280417, Time Elapsed=01:28
Iter=165, Training Loss=6.256799, Validation Loss=6.280417, Time Elapsed=01:28
Iter=166, Training Loss=6.226209, Validation Loss=6.280417, Time Elapsed=01:29
Iter=167, Training Loss=6.596811, Validation Loss=6.280417, Time Elapsed=01:29
Iter=168, Training Loss=6.192075, Validation Loss=6.280417, Time Elapsed=01:30
Iter=169, Training Loss=6.421343, Validation Loss=6.280417, Time Elapsed=01:30
Iter=170, Training Loss=6.603414, Validation Loss=6.280417, Time Elapsed=01:30
Iter=171, Training Loss=6.443357, Validation Loss=6.405177, Time Elapsed=01:32
Iter=172, Training Loss=6.210914, Validation Loss=6.405177, Time Elapsed=01:32
Iter=173, Training Loss=6.324508, Validation Loss=6.405177, Time Elapsed=01:32
Iter=174, Training Loss=6.455947, Validation Loss=6.405177, Time Elapsed=01:33
Iter=175, Training Loss=6.105914, Validation Loss=6.405177, Time Elapsed=01:33
Iter=176, Training Loss=6.346173, Validation Loss=6.405177, Time Elapsed=01:34
Iter=177, Training Loss=6.484776, Validation Loss=6.405177, Time Elapsed=01:34
Iter=178, Training Loss=6.161034, Validation Loss=6.405177, Time Elapsed=01:35
Iter=179, Training Loss=6.390468, Validation Loss=6.405177, Time Elapsed=01:35
Iter=180, Training Loss=6.341519, Validation Loss=6.405177, Time Elapsed=01:36
