Iter=170, Average Loss=2.214542, Time Elapsed=03:07
Iter=171, Average Loss=2.002002, Time Elapsed=03:08
Iter=172, Average Loss=1.805273, Time Elapsed=03:09
Iter=173, Average Loss=1.951520, Time Elapsed=03:10
Iter=174, Average Loss=1.903972, Time Elapsed=03:12
Iter=175, Average Loss=2.210804, Time Elapsed=03:13
Iter=176, Average Loss=2.199440, Time Elapsed=03:14
Iter=177, Average Loss=2.052911, Time Elapsed=03:15
Iter=178, Average Loss=2.017495, Time Elapsed=03:17
Iter=179, Average Loss=1.981055, Time Elapsed=03:18
Iter=180, Average Loss=1.667456, Time Elapsed=03:19
Iter=181, Average Loss=1.737787, Time Elapsed=03:21
Iter=182, Average Loss=2.038322, Time Elapsed=03:22
Iter=183, Average Loss=1.534345, Time Elapsed=03:23
Iter=184, Average Loss=1.893239, Time Elapsed=03:25
Iter=185, Average Loss=1.883172, Time Elapsed=03:26
Iter=186, Average Loss=2.163826, Time Elapsed=03:27
Iter=187, Average Loss=1.734930, Time Elapsed=03:28
Iter=188, Average Loss=1.782900, Time Elapsed=03:30
Iter=189, Average Loss=1.601222, Time Elapsed=03:31
Iter=190, Average Loss=1.829712, Time Elapsed=03:32
Iter=191, Average Loss=1.491037, Time Elapsed=03:33
Iter=192, Average Loss=1.382508, Time Elapsed=03:35
Iter=193, Average Loss=1.684985, Time Elapsed=03:36
Iter=194, Average Loss=1.582994, Time Elapsed=03:37
Iter=195, Average Loss=1.965374, Time Elapsed=03:38
Iter=196, Average Loss=1.629588, Time Elapsed=03:39
Iter=197, Average Loss=1.381365, Time Elapsed=03:41
Iter=198, Average Loss=1.627102, Time Elapsed=03:42
Iter=199, Average Loss=1.762443, Time Elapsed=03:43
Iter=200, Average Loss=1.880514, Time Elapsed=03:44
Iter=201, Average Loss=1.559058, Time Elapsed=03:46
Iter=202, Average Loss=1.519890, Time Elapsed=03:47
Iter=203, Average Loss=1.255809, Time Elapsed=03:48
Iter=204, Average Loss=1.296833, Time Elapsed=03:49
Iter=205, Average Loss=1.337429, Time Elapsed=03:50
Iter=206, Average Loss=1.156112, Time Elapsed=03:52
Iter=207, Average Loss=1.359908, Time Elapsed=03:53
Iter=208, Average Loss=1.423772, Time Elapsed=03:54
Iter=209, Average Loss=1.094007, Time Elapsed=03:55
Iter=210, Average Loss=1.459478, Time Elapsed=03:56
Iter=211, Average Loss=1.560167, Time Elapsed=03:58
Iter=212, Average Loss=1.168976, Time Elapsed=03:59
Iter=213, Average Loss=1.066216, Time Elapsed=04:00
Iter=214, Average Loss=1.371528, Time Elapsed=04:01
Iter=215, Average Loss=1.141092, Time Elapsed=04:03
Iter=216, Average Loss=0.896944, Time Elapsed=04:04
Iter=217, Average Loss=0.772230, Time Elapsed=04:05
Iter=218, Average Loss=1.019940, Time Elapsed=04:06
Iter=219, Average Loss=1.152935, Time Elapsed=04:07
Iter=220, Average Loss=1.020031, Time Elapsed=04:09
Iter=221, Average Loss=0.927320, Time Elapsed=04:10
Iter=222, Average Loss=1.333718, Time Elapsed=04:11
Iter=223, Average Loss=1.115542, Time Elapsed=04:12
Iter=224, Average Loss=0.846050, Time Elapsed=04:14
Iter=225, Average Loss=0.706208, Time Elapsed=04:15
Iter=226, Average Loss=1.112738, Time Elapsed=04:16
Iter=227, Average Loss=0.854637, Time Elapsed=04:17
Iter=228, Average Loss=0.922740, Time Elapsed=04:19
Iter=229, Average Loss=1.031442, Time Elapsed=04:20
Iter=230, Average Loss=1.105713, Time Elapsed=04:21
Iter=231, Average Loss=1.089952, Time Elapsed=04:22
Iter=232, Average Loss=0.848046, Time Elapsed=04:23
Iter=233, Average Loss=0.885987, Time Elapsed=04:25
Iter=234, Average Loss=0.941007, Time Elapsed=04:26
Iter=235, Average Loss=0.969198, Time Elapsed=04:27
Iter=236, Average Loss=0.872684, Time Elapsed=04:28
Iter=237, Average Loss=0.742900, Time Elapsed=04:30
Iter=238, Average Loss=1.070064, Time Elapsed=04:31
Iter=239, Average Loss=0.938285, Time Elapsed=04:32
Iter=240, Average Loss=0.843946, Time Elapsed=04:34
Iter=241, Average Loss=0.738489, Time Elapsed=04:35
Iter=242, Average Loss=0.937587, Time Elapsed=04:37
Iter=243, Average Loss=0.918313, Time Elapsed=04:38
Iter=244, Average Loss=0.678541, Time Elapsed=04:39
Iter=245, Average Loss=0.650025, Time Elapsed=04:41
Iter=246, Average Loss=0.634993, Time Elapsed=04:42
Iter=247, Average Loss=0.790802, Time Elapsed=04:43
Iter=248, Average Loss=0.878801, Time Elapsed=04:45
Iter=249, Average Loss=0.634025, Time Elapsed=04:46
Iter=250, Average Loss=0.624839, Time Elapsed=04:48
Iter=251, Average Loss=0.776943, Time Elapsed=04:49
Iter=252, Average Loss=0.674986, Time Elapsed=04:50
Iter=253, Average Loss=0.712978, Time Elapsed=04:52
Iter=254, Average Loss=0.808259, Time Elapsed=04:53
Iter=255, Average Loss=0.769789, Time Elapsed=04:54
Iter=256, Average Loss=0.628331, Time Elapsed=04:56
Iter=257, Average Loss=0.557920, Time Elapsed=04:57
Iter=258, Average Loss=0.644113, Time Elapsed=04:59
Iter=259, Average Loss=0.763764, Time Elapsed=05:00
Iter=260, Average Loss=0.479626, Time Elapsed=05:01
Iter=261, Average Loss=0.665033, Time Elapsed=05:03
Iter=262, Average Loss=0.783786, Time Elapsed=05:04
Iter=263, Average Loss=0.668480, Time Elapsed=05:06
Iter=264, Average Loss=0.741145, Time Elapsed=05:08
Iter=265, Average Loss=0.864753, Time Elapsed=05:09
Iter=266, Average Loss=0.675109, Time Elapsed=05:11
Iter=267, Average Loss=0.560778, Time Elapsed=05:12
Iter=268, Average Loss=0.693959, Time Elapsed=05:14
Iter=269, Average Loss=0.670768, Time Elapsed=05:15
Iter=270, Average Loss=0.436742, Time Elapsed=05:17
Iter=271, Average Loss=0.514193, Time Elapsed=05:18
Iter=272, Average Loss=0.387829, Time Elapsed=05:19
Iter=273, Average Loss=0.623664, Time Elapsed=05:21
Iter=274, Average Loss=0.430308, Time Elapsed=05:22
Iter=275, Average Loss=0.452603, Time Elapsed=05:24
Iter=276, Average Loss=0.558149, Time Elapsed=05:25
Iter=277, Average Loss=0.462683, Time Elapsed=05:27
Iter=278, Average Loss=0.359999, Time Elapsed=05:28
Iter=279, Average Loss=0.619210, Time Elapsed=05:30
Iter=280, Average Loss=0.584124, Time Elapsed=05:31
Iter=281, Average Loss=0.437237, Time Elapsed=05:32
Iter=282, Average Loss=0.615768, Time Elapsed=05:34
Iter=283, Average Loss=0.552979, Time Elapsed=05:35
Iter=284, Average Loss=0.579825, Time Elapsed=05:37
Iter=285, Average Loss=0.488285, Time Elapsed=05:38
Iter=286, Average Loss=0.546384, Time Elapsed=05:40
Iter=287, Average Loss=0.589926, Time Elapsed=05:41
Iter=288, Average Loss=0.531242, Time Elapsed=05:42
Iter=289, Average Loss=0.495518, Time Elapsed=05:44
Iter=290, Average Loss=0.509784, Time Elapsed=05:45
Iter=291, Average Loss=0.574767, Time Elapsed=05:47
Iter=292, Average Loss=0.798732, Time Elapsed=05:48
Iter=293, Average Loss=0.582684, Time Elapsed=05:50
Iter=294, Average Loss=0.573936, Time Elapsed=05:51
Iter=295, Average Loss=0.575948, Time Elapsed=05:53
Iter=296, Average Loss=0.372046, Time Elapsed=05:54
Iter=297, Average Loss=0.426965, Time Elapsed=05:55
Iter=298, Average Loss=0.339791, Time Elapsed=05:56
Iter=299, Average Loss=0.495994, Time Elapsed=05:58
Iter=300, Average Loss=0.407573, Time Elapsed=05:59
Iter=301, Average Loss=0.459868, Time Elapsed=06:00
Iter=302, Average Loss=0.427910, Time Elapsed=06:01
Iter=303, Average Loss=0.374287, Time Elapsed=06:03
Iter=304, Average Loss=0.348763, Time Elapsed=06:04
Iter=305, Average Loss=0.409985, Time Elapsed=06:05
Iter=306, Average Loss=0.530914, Time Elapsed=06:07
Iter=307, Average Loss=0.404290, Time Elapsed=06:08
Iter=308, Average Loss=0.290380, Time Elapsed=06:09
Iter=309, Average Loss=0.346058, Time Elapsed=06:11
Iter=310, Average Loss=0.492645, Time Elapsed=06:12
Iter=311, Average Loss=0.572214, Time Elapsed=06:13
Iter=312, Average Loss=0.301630, Time Elapsed=06:15
Iter=313, Average Loss=0.393337, Time Elapsed=06:16
Iter=314, Average Loss=0.417218, Time Elapsed=06:17
Iter=315, Average Loss=0.313698, Time Elapsed=06:18
Iter=316, Average Loss=0.369481, Time Elapsed=06:20
Iter=317, Average Loss=0.543078, Time Elapsed=06:21
Iter=318, Average Loss=0.358074, Time Elapsed=06:22
Iter=319, Average Loss=0.278742, Time Elapsed=06:24
Iter=320, Average Loss=0.585666, Time Elapsed=06:25
Iter=321, Average Loss=0.610515, Time Elapsed=06:26
Iter=322, Average Loss=0.650025, Time Elapsed=06:28
